english,zh_tw,category,status,source_paths
N3n. Master Bedroom Closet,N3n. 主臥室衣櫥,heading-label,project-proposed,data/6/entries/6/entries/3/entries/18
N3o. Master Bedroom,N3o. 主臥室,heading-label,project-proposed,data/6/entries/6/entries/3/entries/19
N3p. Bridal Gown and Spirit Mirror,N3p. 結婚禮服及靈魂魔鏡,heading-label,project-proposed,data/6/entries/6/entries/3/entries/20
N3q. Bathroom,N3q. 浴室,heading-label,project-proposed,data/6/entries/6/entries/3/entries/21
N3r. Attic Room,N3r. 閣樓房間,heading-label,project-proposed,data/6/entries/6/entries/3/entries/22
N3s. Attic Storage,N3s. 閣樓儲藏室,heading-label,project-proposed,data/6/entries/6/entries/3/entries/23
N3t. Victor's Workroom,N3t. 維克托的工作間,heading-label,project-proposed,data/6/entries/6/entries/3/entries/25
N4. Wachterhaus,N4.瓦赫特宅邸,heading-label,project-proposed,data/6/entries/6/entries/4
N4a. Front Door and Vestibule,N4a. 前門與門廳,heading-label,project-proposed,data/6/entries/6/entries/4/entries/4
N4b. Staircase,N4b. 樓梯,heading-label,project-proposed,data/6/entries/6/entries/4/entries/5
N4c. Kitchen,N4c. 廚房,heading-label,project-proposed,data/6/entries/6/entries/4/entries/6
N4d. Storage Room,N4d. 儲藏室,heading-label,project-proposed,data/6/entries/6/entries/4/entries/7
N4e. Back Vestibule,N4e. 後門廳,heading-label,project-proposed,data/6/entries/6/entries/4/entries/8
N4f. Servants' Closet,N4f. 僕人壁櫥,heading-label,project-proposed,data/6/entries/6/entries/4/entries/9
N4g. Secret Staircase,N4g. 秘密樓梯,heading-label,project-proposed,data/6/entries/6/entries/4/entries/10
N4h. Servants' Quarters,N4h. 僕人宿舍,heading-label,project-proposed,data/6/entries/6/entries/4/entries/11
N4i. Parlor,N4i. 客廳,heading-label,project-proposed,data/6/entries/6/entries/4/entries/12
N4j. Dining Room,N4j. 餐廳,heading-label,project-proposed,data/6/entries/6/entries/4/entries/13
N4k. Den,N4k. 書房,heading-label,project-proposed,data/6/entries/6/entries/4/entries/14
N4l. Upstairs Hall,N4l. 二樓走廊,heading-label,project-proposed,data/6/entries/6/entries/4/entries/15
N4m. Brothers' Rooms,N4m. 兄弟倆的房間,heading-label,project-proposed,data/6/entries/6/entries/4/entries/16
N4n. Stella's Room,N4n. 絲黛拉的房間,heading-label,project-proposed,data/6/entries/6/entries/4/entries/17
N4o. Master Bedroom,N4o. 主臥室,heading-label,project-proposed,data/6/entries/6/entries/4/entries/18
N4p. Library,N4p. 圖書館,heading-label,project-proposed,data/6/entries/6/entries/4/entries/20
N4q. Storage Room,N4q. 儲藏室,heading-label,project-proposed,data/6/entries/6/entries/4/entries/21
N4r. Cellar Entrance,N4r. 地窖入口,heading-label,project-proposed,data/6/entries/6/entries/4/entries/22
N4s. Cellar,N4s. 地下室,heading-label,project-proposed,data/6/entries/6/entries/4/entries/23
N4t. Cult Headquarters,N4t. 教徒總部,heading-label,project-proposed,data/6/entries/6/entries/4/entries/24
N5. Arasek Stockyard,N5.阿拉瑟克貨棧,heading-label,project-proposed,data/6/entries/6/entries/5
N6. Coffin Maker's Shop,N6.棺材鋪,heading-label,project-proposed,data/6/entries/6/entries/6
N6a. Coffin Storage,N6a. 棺材儲藏室,heading-label,project-proposed,data/6/entries/6/entries/6/entries/8
N6b. Junk Room,N6b. 雜物室,heading-label,project-proposed,data/6/entries/6/entries/6/entries/9
N6c. Workshop,N6c. 工作室,heading-label,project-proposed,data/6/entries/6/entries/6/entries/10
N6d. Kitchen,N6d. 廚房,heading-label,project-proposed,data/6/entries/6/entries/6/entries/11
N6e. Henrik's Bedroom,N6e. 亨裡克的臥室,heading-label,project-proposed,data/6/entries/6/entries/6/entries/12
N6f. Vampire Nest,N6f. 吸血鬼巢穴,heading-label,project-proposed,data/6/entries/6/entries/6/entries/13
N7. Blinsky Toys,N7. 布林斯基玩具店,heading-label,project-proposed,data/6/entries/6/entries/7
N8. Town Square,N8.鎮廣場,heading-label,project-proposed,data/6/entries/6/entries/8
N9. Vistani Camp,N9.維斯塔尼營地,heading-label,project-proposed,data/6/entries/6/entries/9
N9a. Kasimir's Hovel,N9a. 卡西米爾小屋,heading-label,project-proposed,data/6/entries/6/entries/9/entries/5
N9b. Dusk Elf Hovels,N9b. 黃昏精靈們的小屋,heading-label,project-proposed,data/6/entries/6/entries/9/entries/7
N9c. Vistani Tent,N9c. 維斯塔尼帳篷,heading-label,project-proposed,data/6/entries/6/entries/9/entries/8
N9d. Horses,N9d. 馬匹,heading-label,project-proposed,data/6/entries/6/entries/9/entries/9
N9e. Luvash's Wagon,N9e. 魯瓦斯的馬車,heading-label,project-proposed,data/6/entries/6/entries/9/entries/10
N9f. Wagon of Sleeping Vistani,N9f. 睡著的維斯塔尼人的馬車,heading-label,project-proposed,data/6/entries/6/entries/9/entries/11
N9g. Wagon of Gambling Vistani,N9g. 賭博的維斯塔尼人馬車,heading-label,project-proposed,data/6/entries/6/entries/9/entries/12
N9h. Vistani Family Wagon,N9h. 維斯塔尼人家庭馬車,heading-label,project-proposed,data/6/entries/6/entries/9/entries/13
N9i. Vistani Treasure Wagon,N9i. 維斯塔尼藏寶馬車,heading-label,project-proposed,data/6/entries/6/entries/9/entries/14
Needle Blights,枯針怪,heading-label,project-proposed,data/3/entries/13/entries/0/entries/17
Non-evil Summoner,非邪惡召喚者,heading-label,project-proposed,data/6/entries/6/entries/3/entries/20/entries/4
North Sarcophagus,北側石棺,heading-label,project-proposed,data/14/entries/8/entries/45/entries/2/entries/3;data/14/entries/8/entries/45/entries/3/entries/5;data/14/entries/8/entries/45/entries/4/entries/5;data/14/entries/8/entries/45/entries/5/entries/4
Northern Casks,北部木桶區,heading-label,project-proposed,data/5/entries/10/entries/6/entries/3/entries/1
O. Old Bonegrinder,O.碾骨老磨坊,heading-label,project-proposed,data/3/entries/14/entries/16
O1. Ground Floor,O1.一樓,heading-label,project-proposed,data/7/entries/7/entries/1
O2. Bone Mill,O2. 骨磨坊,heading-label,project-proposed,data/7/entries/7/entries/2
O3. Bedroom,O3. 臥室,heading-label,project-proposed,data/7/entries/7/entries/3
O4. Domed Attic,O4. 圓頂閣樓,heading-label,project-proposed,data/7/entries/7/entries/4
Old Friends,老友情深,heading-label,project-proposed,data/21/entries/4/entries/1/entries/1/entries/0
One Pidlwick Too Many,搗蛋皮德爾一個足矣,heading-label,existing-site,data/21/entries/4/entries/5/entries/3/entries/0
Opening the Door,開啟門,heading-label,project-proposed,data/12/entries/7/entries/2/entries/5
Order of the Gauntlet,鐵手套教團,heading-label,project-proposed,data/2/entries/3/entries/10/entries/4
Orphaned Killer,孤兒殺手,heading-label,existing-site,data/21/entries/4/entries/0/entries/2/entries/0
Other D&D Team Members,其他D&D團隊成員,heading-label,project-proposed,data/24/entries/0/items/16
Other Mother,另一個母親,heading-label,existing-site,data/21/entries/3/entries/2/entries/1/entries/0
Otto Belview,奧圖·貝爾維,heading-label,existing-site,data/9/entries/5/entries/13/entries/6/entries/2
Outcasts,邊緣棄兒,heading-label,existing-site,data/21/entries/4/entries/3/entries/1/entries/1
P. Luna River Crossroads,P.月光河路口,heading-label,project-proposed,data/3/entries/14/entries/17
Pack Attack,部落來襲,heading-label,project-proposed,data/12/entries/8/entries/1
Pack Rats with Cats,松鼠病與愛貓狂,heading-label,existing-site,data/21/entries/3/entries/3/entries/1/entries/1
Personification,擬人,heading-label,project-proposed,data/1/entries/5/entries/6
Phantom Warrior,魅影武者,heading-label,existing-site,data/21/entries/4/entries/4
Pidlwick II,搗蛋皮德爾二世,heading-label,existing-site,data/5/entries/9/entries/15/entries/3;data/21/entries/4/entries/5
Pidlwick II's Traits,搗蛋皮德爾二世的特質,heading-label,existing-site,data/21/entries/4/entries/5/entries/4
Playtesters,測試玩家,heading-label,project-proposed,data/24/entries/0/items/23
Plea for Help,求助者,heading-label,project-proposed,data/2/entries/3/entries/6
Poster Map,海報地圖,heading-label,project-proposed,data/25
Prepress Specialist,印前專家,heading-label,project-proposed,data/24/entries/0/items/15
Product Engineer,產品工程師,heading-label,project-proposed,data/24/entries/0/items/14
Project Managers,專案經理,heading-label,project-proposed,data/24/entries/0/items/13
Q. Argynvostholt,Q.銀龍宅邸,heading-label,project-proposed,data/3/entries/14/entries/18
Q1. Dragon Statue,Q1.巨龍雕像,heading-label,project-proposed,data/8/entries/9/entries/2
Q10. Kitchen,Q10. 廚房,heading-label,project-proposed,data/8/entries/9/entries/11
Q11. Wine Storage,Q11. 酒窖,heading-label,project-proposed,data/8/entries/9/entries/12
Q12. Dining Hall,Q12. 餐廳,heading-label,project-proposed,data/8/entries/9/entries/13
Q13. Chapel of Morning,Q13. 晨曦禮拜堂,heading-label,project-proposed,data/8/entries/9/entries/14
Q14. Chapel Staircases,Q14. 禮拜堂樓梯,heading-label,project-proposed,data/8/entries/9/entries/15
Q15. Cemetery,Q15. 墓地,heading-label,project-proposed,data/8/entries/9/entries/16
Q16. Dragon's Mausoleum,Q16. 巨龍的陵墓,heading-label,project-proposed,data/8/entries/9/entries/17
Q17. West Staircases,Q17. 西樓梯,heading-label,project-proposed,data/8/entries/9/entries/18
Q18. Balconies,Q18. 陽臺,heading-label,project-proposed,data/8/entries/9/entries/19
Q19. Ruined Bedchambers,Q19. 廢棄的臥室,heading-label,project-proposed,data/8/entries/9/entries/20
Q2. Main Entrance,Q2. 主入口,heading-label,project-proposed,data/8/entries/9/entries/3
Q20. South Alcove,Q20. 南凹室,heading-label,project-proposed,data/8/entries/9/entries/21
Q21. North Alcove,Q21. 北凹室,heading-label,project-proposed,data/8/entries/9/entries/22
Q22. Bathroom,Q22. 浴室,heading-label,project-proposed,data/8/entries/9/entries/23
Q23. Storage Room,Q23. 儲藏室,heading-label,project-proposed,data/8/entries/9/entries/24
Q24. Chapel Balcony,Q24. 禮拜堂露臺,heading-label,project-proposed,data/8/entries/9/entries/25
Q25. Trapped Hallway,Q25. 陷阱走廊,heading-label,project-proposed,data/8/entries/9/entries/26
Q26. Northeast Guest Room,Q26. 東北客房,heading-label,project-proposed,data/8/entries/9/entries/27
Q27. Knights' Quarters,Q27. 騎士宿舍,heading-label,project-proposed,data/8/entries/9/entries/28
Q28. Knights' Quarters,Q28. 騎士宿舍,heading-label,project-proposed,data/8/entries/9/entries/29
Q29. Northwest Guest Room,Q29. 西北客房,heading-label,project-proposed,data/8/entries/9/entries/30
Q3. Dragon's Foyer,Q3. 龍之門廳,heading-label,project-proposed,data/8/entries/9/entries/4
Q30. Curtained Staircase,Q30. 帷幕遮掩的樓梯,heading-label,project-proposed,data/8/entries/9/entries/31
Q31. East Staircases,Q31. 東樓梯,heading-label,project-proposed,data/8/entries/9/entries/32
Q32. Ruined Bedchambers,Q32. 廢棄的臥室,heading-label,project-proposed,data/8/entries/9/entries/33
Q33. Collapsed Ceiling,Q33. 坍塌的天花板,heading-label,project-proposed,data/8/entries/9/entries/34
Q34. Ruined Bathroom,Q34. 廢棄的浴室,heading-label,project-proposed,data/8/entries/9/entries/35
Q35. Upstairs Gallery,Q35. 二樓走廊,heading-label,project-proposed,data/8/entries/9/entries/36
Q36. Dragon's Audience Hall,Q36. 龍之謁見廳,heading-label,project-proposed,data/8/entries/9/entries/37
Q37. Knights of the Order,Q37. 騎士團成員,heading-label,project-proposed,data/8/entries/9/entries/38
Q38. Closet,Q38. 壁櫥,heading-label,project-proposed,data/8/entries/9/entries/39
Q39. Vladimir's Bedroom,Q39. 弗拉基米爾的臥室,heading-label,project-proposed,data/8/entries/9/entries/40
Q4. Spiders' Ballroom,Q4.蜘蛛的宴會廳,heading-label,project-proposed,data/8/entries/9/entries/5
Q40. Argynvost's Study,Q40. 奧金弗斯特的書房,heading-label,project-proposed,data/8/entries/9/entries/41
Q41. Dragon's Vault,Q41. 龍之寶庫,heading-label,project-proposed,data/8/entries/9/entries/42
Q42. Argynvost's Bedroom,Q42. 奧金弗斯特的臥室,heading-label,project-proposed,data/8/entries/9/entries/43
Q43. Hole in Roof,Q43. 屋頂的洞,heading-label,project-proposed,data/8/entries/9/entries/44
Q44. Dragon Gargoyle,Q44. 龍形石像鬼,heading-label,project-proposed,data/8/entries/9/entries/45
Q45. Ancient Ballista,Q45. 古代弩炮,heading-label,project-proposed,data/8/entries/9/entries/46
Q46. Destroyed Ballista,Q46. 被摧毀的弩炮,heading-label,project-proposed,data/8/entries/9/entries/47
Q47. Roof Turrets,Q47. 屋頂塔樓,heading-label,project-proposed,data/8/entries/9/entries/48
Q48. Roof's Edge,Q48. 屋頂邊緣,heading-label,project-proposed,data/8/entries/9/entries/49
Q49. Beacon Tower Door,Q49. 燈塔塔樓的門,heading-label,project-proposed,data/8/entries/9/entries/50
Q5. Ruined Stable,Q5.廢棄的馬廄,heading-label,project-proposed,data/8/entries/9/entries/6
"Q50. Beacon, Lower Landing",Q50. 燈塔下層,heading-label,project-proposed,data/8/entries/9/entries/51
"Q51. Beacon, Upper Landing",Q51. 燈塔上層,heading-label,project-proposed,data/8/entries/9/entries/52
Q52. Beacon Turrets,Q52. 燈塔塔樓,heading-label,project-proposed,data/8/entries/9/entries/53
Q53. Beacon of Argynvostholt,Q53. 奧金弗斯特燈塔,heading-label,project-proposed,data/8/entries/9/entries/54
Q6. Dragon's Den,Q6. 龍穴,heading-label,project-proposed,data/8/entries/9/entries/7
Q7. Parlor,Q7. 客廳,heading-label,project-proposed,data/8/entries/9/entries/8
Q8. Iron Gate,Q8. 鐵門,heading-label,project-proposed,data/8/entries/9/entries/9
Q9. Servants' Quarters,Q9. 僕人宿舍,heading-label,project-proposed,data/8/entries/9/entries/10
R. Raven River Crossroads,R.渡鴉河岔路,heading-label,project-proposed,data/3/entries/14/entries/19
Rahadin,拉哈丁,heading-label,existing-site,data/5/entries/4/entries/3/entries/10;data/21/entries/5/entries/0
Rahadin's Prayer,拉哈丁的祈禱,heading-label,project-proposed,data/14/entries/9/entries/1
Rahadin's Revenge,拉哈丁的復仇,heading-label,project-proposed,data/17/entries/3/entries/3
Rahadin's Traits,拉哈丁的特質,heading-label,existing-site,data/21/entries/5/entries/0/entries/2
Random Encounters,隨機遭遇,heading-label,existing-site,data/3/entries/13;data/5/entries/4;data/5/entries/4/entries/3
Rats,老鼠,heading-label,project-proposed,data/4/entries/4/entries/4/entries/2;data/6/entries/5/entries/5/entries/2
Raven Bane,渡鴉之禍,heading-label,existing-site,data/21/entries/3/entries/2/entries/1/entries/2
Resurrection Madness,復活後的瘋狂,heading-label,project-proposed,data/3/entries/7/entries/4
Revenant,還魂鬼,heading-label,existing-site,data/3/entries/13/entries/0/entries/18
Revenants at Rest,還魂鬼安息,heading-label,project-proposed,data/8/entries/9/entries/54/entries/4/entries/4
Revenants of Barovia,巴洛維亞的還魂鬼,heading-label,project-proposed,data/8/entries/7/entries/6
Rictavio,瑞克塔維歐,heading-label,existing-site,data/6/entries/6/entries/2/entries/10/entries/8;data/21/entries/5/entries/1
Rictavio's Carnival Wagon,瑞克塔維歐的嘉年華馬車,heading-label,project-proposed,data/6/entries/6/entries/5/entries/2
Rictavio's Journal,瑞克塔維歐的日記,heading-label,project-proposed,data/6/entries/6/entries/2/entries/21/entries/4
Rictavio's Traits,瑞克塔維歐的特質,heading-label,existing-site,data/21/entries/5/entries/1/entries/2
Roc of Mount Ghakis,加奇斯山的鵬鳥,heading-label,project-proposed,data/10/entries/4/entries/1
Roleplaying,角色扮演（簡稱RP）,heading-label,existing-site,data/6/entries/6/entries/4/entries/3
Roleplaying Arabelle,扮演阿拉貝拉,heading-label,project-proposed,data/3/entries/14/entries/13/entries/5
Roleplaying Bluto,扮演布魯托,heading-label,project-proposed,data/3/entries/14/entries/13/entries/4
Roleplaying Clovin,扮演克洛文,heading-label,project-proposed,data/9/entries/5/entries/24/entries/6
Roleplaying Ireena,扮演伊莉娜,heading-label,project-proposed,data/4/entries/5/entries/5/entries/6
Roleplaying Ismark,扮演伊斯馬克,heading-label,project-proposed,data/4/entries/5/entries/3/entries/2
Roleplaying Strahd,扮演施特拉德,heading-label,project-proposed,data/2/entries/1/entries/3
Roleplaying the Abbot,扮演院長,heading-label,project-proposed,data/9/entries/5/entries/20/entries/9
Roleplaying the Mongrelfolk,扮演混種人,heading-label,project-proposed,data/9/entries/5/entries/13/entries/6
Roleplaying the Other NPCs,扮演其他NPC角色,heading-label,project-proposed,data/4/entries/5/entries/3/entries/3
Roleplaying the Vallakovich Family,扮演瓦拉科維奇家族,heading-label,project-proposed,data/6/entries/6/entries/3/entries/4
Roleplaying the Vistani and the Elves,扮演維斯塔尼人與精靈,heading-label,project-proposed,data/6/entries/6/entries/9/entries/4
Rooms of Weeping,哀泣之間,heading-label,project-proposed,data/5/entries/8
Rose and Thorn,玫瑰與荊棘,heading-label,project-proposed,data/19/entries/3/entries/6;data/19/entries/4/entries/21/entries/4
Royal Blood,王室血統,heading-label,existing-site,data/21/entries/4/entries/2/entries/1/entries/0
Running the Adventure,運作冒險,heading-label,project-proposed,data/1/entries/4
S. Village of Krezk,S.克雷茨克村,heading-label,project-proposed,data/3/entries/14/entries/20
S1. Road Junction,S1.路口,heading-label,project-proposed,data/9/entries/5/entries/2
S10. Abbey Entrance,S10. 修道院入口,heading-label,project-proposed,data/9/entries/5/entries/17
S11. Inner Gatehouses,S11. 內門樓,heading-label,project-proposed,data/9/entries/5/entries/18
S12. Courtyard,S12. 庭院,heading-label,project-proposed,data/9/entries/5/entries/19
S12a. Well,S12a. 井,heading-label,project-proposed,data/9/entries/5/entries/19/entries/2
S12b. Old Troughs,S12b. 舊食槽,heading-label,project-proposed,data/9/entries/5/entries/19/entries/3
S12c. Chicken Sheds,S12c. 雞舍,heading-label,project-proposed,data/9/entries/5/entries/19/entries/4
S12d. Tethering Posts,S12d. 栓杆,heading-label,project-proposed,data/9/entries/5/entries/19/entries/5
S13. Main Hall,S13. 主廳,heading-label,project-proposed,data/9/entries/5/entries/20
S14. Foyer,S14.休息廳,heading-label,project-proposed,data/9/entries/5/entries/21
S15. Madhouse,S15. 瘋人院,heading-label,project-proposed,data/9/entries/5/entries/22
S15a. Fearful Mongrelfolk,S15a. 驚恐的混種人,heading-label,project-proposed,data/9/entries/5/entries/22/entries/6
S15b. Quarreling Mongrelfolk,S15b. 爭吵的混種人,heading-label,project-proposed,data/9/entries/5/entries/22/entries/7
S15c. Incanting Mongrelfolk,S15c. 施法的混種人,heading-label,project-proposed,data/9/entries/5/entries/22/entries/8
S15d. Hungry Mongrelfolk,S15d. 飢餓的混種人,heading-label,project-proposed,data/9/entries/5/entries/22/entries/9
S15e. Mongrelfolk Horde,S15e. 一群混種人,heading-label,project-proposed,data/9/entries/5/entries/22/entries/10
S15f. Singing and Dancing Mongrelfolk,S15f. 載歌載舞的混種人,heading-label,project-proposed,data/9/entries/5/entries/22/entries/11
S15g. Mongrelfolk Babies,S15g. 混種人嬰兒,heading-label,project-proposed,data/9/entries/5/entries/22/entries/12
S15h. Mongrelfolk Fort,S15h. 混種人堡壘,heading-label,project-proposed,data/9/entries/5/entries/22/entries/13
S16. Wine Cellar,S16. 酒窖,heading-label,project-proposed,data/9/entries/5/entries/23
S17. Loft and Belfry,S17. 閣樓和鐘樓,heading-label,project-proposed,data/9/entries/5/entries/24
S18. Curtain Wall,S18. 幕牆,heading-label,project-proposed,data/9/entries/5/entries/25
S19. Barracks,S19.營房,heading-label,project-proposed,data/9/entries/5/entries/26
S2. Gatehouse,S2.門樓,heading-label,project-proposed,data/9/entries/5/entries/3
S20. Upstairs Office,S20. 二樓辦公室,heading-label,project-proposed,data/9/entries/5/entries/27
S21. Haunted Hospital,S21.鬧鬼的醫療室,heading-label,project-proposed,data/9/entries/5/entries/28
S22. Operating Room,S22. 手術室,heading-label,project-proposed,data/9/entries/5/entries/29
S23. Nursery,S23.育兒室,heading-label,project-proposed,data/9/entries/5/entries/30
S24. Morgue,S24. 太平間,heading-label,project-proposed,data/9/entries/5/entries/31
S3. Village of Krezk,S3.克雷茨克村,heading-label,project-proposed,data/9/entries/5/entries/4
S4. Pool and Shrine,S4.水池和聖壇,heading-label,project-proposed,data/9/entries/5/entries/5
S5. Winding Road,S5. 蜿蜒之路,heading-label,project-proposed,data/9/entries/5/entries/6
S6. North Gate,S6. 北大門,heading-label,project-proposed,data/9/entries/5/entries/13
S7. Graveyard,S7. 墓地,heading-label,project-proposed,data/9/entries/5/entries/14
S8. Garden Gatehouse,S8.花園門樓,heading-label,project-proposed,data/9/entries/5/entries/15
S9. Gardens,S9. 花園,heading-label,project-proposed,data/9/entries/5/entries/16
Scarecrows,稻草人,heading-label,project-proposed,data/3/entries/13/entries/0/entries/19
Screams of the Dead,亡者尖嘯,heading-label,existing-site,data/21/entries/5/entries/0/entries/1/entries/3
Search for a Successor or Consort,尋找伴侶或繼承人,heading-label,project-proposed,data/2/entries/1/entries/2/entries/3
Secret Door,暗門,heading-label,project-proposed,data/5/entries/11/entries/2/entries/10/entries/1;data/19/entries/4/entries/9/entries/4;data/19/entries/4/entries/12/entries/2;data/19/entries/4/entries/16/entries/4;data/19/entries/4/entries/19/entries/2;data/19/entries/4/entries/37/entries/1
Secret Doors,暗門,heading-label,project-proposed,data/3/entries/14/entries/3/entries/6/entries/2;data/5/entries/8/entries/6/entries/3;data/5/entries/8/entries/7/entries/3
Secrets of the Amber Temple,琥珀神殿的秘密,heading-label,project-proposed,data/21/entries/4/entries/1/entries/1/entries/2
Sergei and Ireena,謝爾蓋和伊麗娜,heading-label,project-proposed,data/17/entries/3/entries/4
Shadow of Argynvost,奧金弗斯特之影,heading-label,project-proposed,data/8/entries/9/entries/4/entries/2
Shadows,幽影,heading-label,existing-site,data/5/entries/4/entries/3/entries/11
Skeletal Rider,骷髏騎士,heading-label,project-proposed,data/3/entries/13/entries/0/entries/20
Slashed Picture,被砍破的畫,heading-label,project-proposed,data/8/entries/9/entries/41/entries/4
Something Blue,一點藍,heading-label,project-proposed,data/9/entries/6/entries/4
Something Borrowed,一樣借,heading-label,project-proposed,data/9/entries/6/entries/3
Something New,一樣新,heading-label,project-proposed,data/9/entries/6/entries/2
Something Old,一樣舊,heading-label,project-proposed,data/9/entries/6/entries/1
Souls and Shells,靈魂與軀殼,heading-label,project-proposed,data/3/entries/9
Sound Mimicry,模仿聲音,heading-label,existing-site,data/21/entries/4/entries/3/entries/1/entries/0
South Sarcophagus,南側石棺,heading-label,project-proposed,data/14/entries/8/entries/45/entries/1/entries/7;data/14/entries/8/entries/45/entries/2/entries/5;data/14/entries/8/entries/45/entries/3/entries/7;data/14/entries/8/entries/45/entries/5/entries/6;data/14/entries/8/entries/45/entries/6/entries/4;data/14/entries/8/entries/54/entries/4/entries/2
Southern Casks,南部木桶區,heading-label,project-proposed,data/5/entries/10/entries/6/entries/3/entries/3
Special Delivery,特殊交付,heading-label,project-proposed,data/8/entries/10/entries/1
Special Events,特殊事件,heading-label,project-proposed,data/4/entries/6;data/6/entries/7;data/8/entries/10;data/9/entries/6;data/10/entries/4;data/11/entries/8;data/12/entries/8;data/13/entries/16;data/14/entries/9;data/15/entries/4;data/16/entries/11
Spectral Longbow,靈體長弓,heading-label,project-proposed,data/8/entries/9/entries/53/entries/2/entries/1
Spellcasting,施法,heading-label,existing-site,data/8/entries/9/entries/38/entries/6/entries/0
Spider Climb,蛛行術,heading-label,project-proposed,data/14/entries/8/entries/45/entries/3/entries/3
Spires of Ravenloft,鴉閣諸塔,heading-label,project-proposed,data/5/entries/9
St. Andral's Feast,聖安德拉血宴,heading-label,project-proposed,data/6/entries/7/entries/4
Stars,星辰,heading-label,project-proposed,data/22/entries/5/entries/2;data/22/entries/6/entries/2
Stars (Clubs),星（梅花）,heading-label,project-proposed,data/2/entries/2/entries/7/entries/2
Statistics,資料,heading-label,existing-site,data/21/entries/3/entries/0/entries/1/entries/4;data/21/entries/4/entries/1/entries/1/entries/3;data/21/entries/5/entries/4/entries/1/entries/3
Statue's Head,雕像的頭部,heading-label,project-proposed,data/14/entries/8/entries/11/entries/1
Story Overview,故事梗概,heading-label,project-proposed,data/1/entries/4/entries/6
Strahd Dies,施特拉德死亡,heading-label,project-proposed,data/17/entries/3
Strahd Prevails,施特拉德獲勝,heading-label,project-proposed,data/17/entries/2
Strahd Zombie,施特拉德喪屍,heading-label,existing-site,data/21/entries/5/entries/3
Strahd Zombies,施特拉德喪屍,heading-label,project-proposed,data/3/entries/13/entries/0/entries/21;data/4/entries/4/entries/4/entries/4
Strahd von Zarovich,施特拉德·馮·扎洛維奇,heading-label,existing-site,data/2/entries/1;data/3/entries/12/entries/6/entries/1;data/5/entries/4/entries/3/entries/12;data/21/entries/5/entries/2
Strahd's Animated Armor,施特拉德的活化盔甲,heading-label,existing-site,data/21/entries/3/entries/1/entries/5
Strahd's Enemy,施特拉德的敵人,heading-label,project-proposed,data/2/entries/2/entries/8
Strahd's Goals,施特拉德的目的,heading-label,project-proposed,data/2/entries/1/entries/2
Strahd's Invitation,施特拉德的邀請函,heading-label,project-proposed,data/23/entries/1
Strahd's Location in the Castle,施特拉德在城堡中的位置,heading-label,project-proposed,data/2/entries/2/entries/9
Strahd's Return,施特拉德的歸來,heading-label,project-proposed,data/17/entries/3/entries/6/entries/6
Strahd's Spies,施特拉德的間諜,heading-label,project-proposed,data/3/entries/13/entries/0/entries/7/entries/4
Strahd's Tactics,施特拉德的戰術,heading-label,existing-site,data/21/entries/5/entries/2/entries/2
Strahd's Vistani Servants,施特拉德的維斯塔尼僕人,heading-label,project-proposed,data/3/entries/12/entries/5
Sun's Grave,太陽之墓,heading-label,project-proposed,data/9/entries/5/entries/14/entries/2
Sunlight in Barovia,巴洛維亞的陽光,heading-label,project-proposed,data/3/entries/6/entries/3
Swarms of Bats,蝙蝠群,heading-label,project-proposed,data/3/entries/13/entries/0/entries/22;data/5/entries/4/entries/3/entries/13
Swarms of Ravens,渡鴉群,heading-label,project-proposed,data/3/entries/13/entries/0/entries/23
Swords,劍舞,heading-label,project-proposed,data/22/entries/5/entries/1;data/22/entries/6/entries/1
Swords (Spades),劍（黑桃）,heading-label,project-proposed,data/2/entries/2/entries/7/entries/1
T. Tsolenka Pass,T.索倫卡山道,heading-label,project-proposed,data/3/entries/14/entries/21
T1. Gatehouse Portcullis,T1. 門樓吊閘,heading-label,project-proposed,data/10/entries/3/entries/2
T2. Demon Statues,T2. 惡魔雕像,heading-label,project-proposed,data/10/entries/3/entries/3
T3. Curtain of Green Flame,T3.綠炎帷幕,heading-label,project-proposed,data/10/entries/3/entries/4
"T4. Guard Tower, Ground Floor",T4. 警衛塔樓一層,heading-label,project-proposed,data/10/entries/3/entries/5
"T5. Guard Tower, Upper Floor",T5. 警衛塔樓二層,heading-label,project-proposed,data/10/entries/3/entries/6
T6. Guard Tower Rooftop,T6. 警衛塔樓頂,heading-label,project-proposed,data/10/entries/3/entries/7
T7. Western Arch,T7. 西拱門,heading-label,project-proposed,data/10/entries/3/entries/8
T8. Stone Bridge,T8. 石橋,heading-label,project-proposed,data/10/entries/3/entries/9
T9. Eastern Arch,T9. 東拱門,heading-label,project-proposed,data/10/entries/3/entries/10
Tarokka Cards,塔羅卡卡牌,heading-label,project-proposed,data/22/entries/6
Tarokka Deck,塔羅卡牌組,heading-label,existing-site,data/21/entries/3/entries/5/entries/1/entries/5
Task Driven,不負使命,heading-label,existing-site,data/21/entries/4/entries/4/entries/1/entries/0
Teleport Destination,傳送點,heading-label,project-proposed,data/5/entries/8/entries/5/entries/6;data/5/entries/9/entries/16/entries/5;data/5/entries/11/entries/15/entries/7;data/6/entries/6/entries/6/entries/13/entries/2;data/9/entries/5/entries/24/entries/7;data/10/entries/3/entries/5/entries/3;data/14/entries/8/entries/54/entries/3
Teleport Traps,傳送陷阱,heading-label,project-proposed,data/5/entries/11/entries/13/entries/7
