english,category,first_page,occurrences,first_context,representative_source,confidence,zh_tw,status,scope,variants,evidence
Margo,possible-proper-noun,4,8,data/0/entries/5/entries/0/rows/45/0,Margo Verida,0.8,瑪戈,project-proposed,contextual,,
Margo Verida,possible-proper-noun,4,3,data/0/entries/5/entries/0/rows/45/0,Margo Verida,0.8,瑪戈·維里達,project-proposed,contextual,瑪戈·維麗達,
Marpenoth,possible-proper-noun,6,31,data/1/entries/3/entries/6/entries/0,"{@creature Jarlaxle Baenre|WDH} is a drow swashbuckler and the secret lord of Luskan, the City of Sails. Jarlaxle plans to use the cache of dragons to buy his way into the Lords' Alliance, a confederation of cities and towns that band together against common threats. Jarlaxle also wants the {@item dragonstaff of Ahghairon|WDH} for leverage in his negotiations. In the magical guise of a human sea captain named Zardoz Zord, Jarlaxle runs a traveling carnival called the Sea Maidens Faire and lairs aboard a ship in Waterdeep's harbor that has a submarine (the {@i Scarlet Marpenoth}) underneath it, as described in chapter 7.",0.8,瑪佩諾斯,project-proposed,contextual,馬爾彭諾斯;馬佩諾斯;馬爾佩諾斯,
Marro Qaz'arrt,possible-proper-noun,4,2,data/0/entries/5/entries/0/rows/46/0,Marro Qaz'arrt,0.8,馬羅·卡扎爾特,project-proposed,contextual,,
Marta,possible-proper-noun,68,1,data/5/entries/5/entries/4/entries/5/entries/0,"Pick one of the unmarked buildings on map 4.2 to serve as the Fuoco residence. Agorn Fuoco (NE male Turami {@creature bard|VGM}; see {@adventure appendix B|WDH|12}) is inside, trying to smother his bedridden mother, Marta (N female Turami human {@creature commoner} with 1 hit point), with a sack she uses as a pillowcase. With tears born of joy and sadness streaming down his face, Agorn is cutting loose his old family ties and embracing his new family: the Zhentarim. The characters can stop him from committing matricide by pulling him away from his mother before she suffocates.",0.8,瑪塔,project-proposed,contextual,,
Martem,possible-proper-noun,45,4,data/4/entries/7/entries/2/entries/3/name,Martem Trec,0.8,馬爾特姆,project-proposed,contextual,,
Martem Trec,possible-proper-noun,45,1,data/4/entries/7/entries/2/entries/3/name,Martem Trec,0.8,馬爾特姆·特雷克,project-proposed,contextual,,
Martial Arts Adept,possible-proper-noun,147,10,data/9/entries/2/entries/3/entries/2/entries/0,"Delivering proof that {@creature Manshoon|WDH} is hiding in Waterdeep to {@creature Laeral Silverhand|WDH}, {@creature Mirt|WDH}, the Harpers, Force Grey, the Blackstaff, the Lords' Alliance, the Order of the Gauntlet, the City Watch, or the Watchful Order of Magists and Protectors triggers a far-reaching effort to oust him from the city. Such proof can be obtained from any of {@creature Manshoon|WDH}'s lieutenants, who can be captured and turned over for interrogation. These lieutenants include Sidra Romeir ({@area K2|3db}), {@creature Manafret Cherryport|wdh} ({@area K3|3de}), {@creature Urstul Floxin|wdh} ({@area E5|41d}), Vevette Blackwater and Agorn Fuoco ({@area E8|425}), and {@creature Zhent Martial Arts Adept|wdh|Havia Quickknife} and {@creature Zhent Martial Arts Adept|wdh|Mookie Plush} ({@area E10|42a}).",0.95,武術高手,existing-site,contextual,武術高手,
Matchless Pipe,possible-proper-noun,48,1,data/4/entries/8/entries/2/entries/4/entries/4/name,Matchless Pipe,0.95,無雙菸斗,existing-site,contextual,無雙菸斗,
"Mattrim ""Threestrings"" Mereg",possible-proper-noun,20,1,data/1/entries/12/entries/5/entries/4/name,"Mattrim ""Threestrings"" Mereg",0.95,"馬特里姆""三絃"" 梅雷格",existing-site,contextual,"馬特里姆""三絃"" 梅雷格",
Mattrim Mereg,possible-proper-noun,4,3,data/0/entries/5/entries/0/rows/47/0,Mattrim Mereg,0.8,馬特里姆·梅雷格,project-proposed,contextual,,
Mavia Oxlander,possible-proper-noun,68,1,data/5/entries/5/entries/4/entries/6/entries/2,"If the characters find themselves outmatched by the Zhents, help comes in two forms. Two Harper {@creature spy||spies} sent by {@creature Remallia Haventree|WDH} (see {@adventure appendix B|WDH|12}) appear on the scene. Their names are Salazar Lorrance (CG male Tethyrian human) and Mavia Oxlander (NG female Chondathan human). If the battle doesn't turn quickly in the party's favor, {@creature Grinda Garloth|WDH} (see {@area D2|15a}) appears and uses her magic to aid them.",0.8,瑪維亞·奧克斯蘭德,project-proposed,contextual,,
Maxeene,possible-proper-noun,38,4,data/3/entries/4/entries/7/entries/3/entries/2/rows/0/1,"""One of the drays working in the city is pulled by a talking mare named {@creature Maxeene|wdh}. Locate her, find out if she's learned the identity of any Zhent operatives, and if so, determine their whereabouts.""",0.95,瑪克辛,existing-site,contextual,,
Mechanical Beholder,possible-proper-noun,86,2,data/5/entries/12/entries/5/entries/1/rows/2/1,"3 {@creature duergar} and 1 {@creature gazer|vgm} (see {@adventure appendix B|WDH|12}) standing guard while {@creature Thorvin Twinbeard|wdh} (see {@adventure appendix B|WDH|12}) works on a mechanical beholder (see ""Mechanical Beholder"" below)",0.95,機械眼魔,existing-site,contextual,機械眼魔,
Melannor,possible-proper-noun,4,11,data/0/entries/5/entries/0/rows/48/0,{@creature Melannor Fellbranch|WDH},0.95,梅蘭諾,existing-site-short-form,contextual,,
Melannor Fellbranch,possible-proper-noun,4,7,data/0/entries/5/entries/0/rows/48/0,{@creature Melannor Fellbranch|WDH},0.95,梅蘭諾·費爾布蘭奇,existing-site,contextual,梅蘭諾·費爾布蘭奇,
Meloon,possible-proper-noun,4,30,data/0/entries/5/entries/0/rows/49/0,{@creature Meloon Wardragon|WDH},0.95,麥倫,existing-site-short-form,contextual,米隆;梅隆,
Meloon Wardragon,possible-proper-noun,4,10,data/0/entries/5/entries/0/rows/49/0,{@creature Meloon Wardragon|WDH},0.95,麥倫·戰龍,existing-site,contextual,麥倫·戰龍,
Mimic,heading/rule,84,3,data/5/entries/12/entries/2/entries/10/entries/2/entries/1/caption,Mimic Present,0.95,擬身怪,existing-site,heading-only,擬身怪,
Mind Flayer,possible-proper-noun,111,2,data/6/entries/7/entries/4/entries/26/entries/3/name,Mind Flayer,0.95,奪心魔,existing-site,contextual,奪心魔;靈吸怪鱝;靈吸怪,
Mirror,possible-proper-noun,110,1,data/6/entries/7/entries/4/entries/21/entries/5/name,Mirror,0.95,鏡子,existing-site,contextual,鏡子,
Mirt,possible-proper-noun,4,41,data/0/entries/5/entries/0/rows/50/0,{@creature Mirt|WDH},0.95,米爾特,existing-site,contextual,米爾特,
Mirtul,possible-proper-noun,4,4,data/0/entries/5/entries/0/rows/51/0,Mirtul (month),0.8,米爾圖,project-proposed,contextual,,
Mistshore,possible-proper-noun,57,34,data/5/entries/2/entries/1/items/0,"If {@creature Xanathar|WDH} is the villain, the stone is delivered to a mage named {@creature Grinda Garloth|WDH}. She owns an {@item apparatus of Kwalish} and lives in Mistshore, a seedy neighborhood built on a dock in the Dock Ward.",0.8,霧岸,project-proposed,contextual,迷霧海岸;霧海岸;霧濱;米斯特岸,
Mookie,possible-proper-noun,147,7,data/9/entries/2/entries/3/entries/2/entries/0,"Delivering proof that {@creature Manshoon|WDH} is hiding in Waterdeep to {@creature Laeral Silverhand|WDH}, {@creature Mirt|WDH}, the Harpers, Force Grey, the Blackstaff, the Lords' Alliance, the Order of the Gauntlet, the City Watch, or the Watchful Order of Magists and Protectors triggers a far-reaching effort to oust him from the city. Such proof can be obtained from any of {@creature Manshoon|WDH}'s lieutenants, who can be captured and turned over for interrogation. These lieutenants include Sidra Romeir ({@area K2|3db}), {@creature Manafret Cherryport|wdh} ({@area K3|3de}), {@creature Urstul Floxin|wdh} ({@area E5|41d}), Vevette Blackwater and Agorn Fuoco ({@area E8|425}), and {@creature Zhent Martial Arts Adept|wdh|Havia Quickknife} and {@creature Zhent Martial Arts Adept|wdh|Mookie Plush} ({@area E10|42a}).",0.8,穆基,project-proposed,contextual,,
Mookie Plush,possible-proper-noun,147,4,data/9/entries/2/entries/3/entries/2/entries/0,"Delivering proof that {@creature Manshoon|WDH} is hiding in Waterdeep to {@creature Laeral Silverhand|WDH}, {@creature Mirt|WDH}, the Harpers, Force Grey, the Blackstaff, the Lords' Alliance, the Order of the Gauntlet, the City Watch, or the Watchful Order of Magists and Protectors triggers a far-reaching effort to oust him from the city. Such proof can be obtained from any of {@creature Manshoon|WDH}'s lieutenants, who can be captured and turned over for interrogation. These lieutenants include Sidra Romeir ({@area K2|3db}), {@creature Manafret Cherryport|wdh} ({@area K3|3de}), {@creature Urstul Floxin|wdh} ({@area E5|41d}), Vevette Blackwater and Agorn Fuoco ({@area E8|425}), and {@creature Zhent Martial Arts Adept|wdh|Havia Quickknife} and {@creature Zhent Martial Arts Adept|wdh|Mookie Plush} ({@area E10|42a}).",0.8,穆基·普拉什,project-proposed,contextual,,
Morga,possible-proper-noun,62,3,data/5/entries/4/entries/3/entries/2/entries/0,The characters enter the alley followed by eight {@creature kobold||kobolds} disguised as children wearing troll masks. A {@creature bugbear} named Morga and an {@creature intellect devourer} hide in a doorway halfway down the alley and can be spotted with a successful {@dc 16} Wisdom (Perception) check.,0.8,莫爾加,project-proposed,contextual,摩加,
Muleskull Tavern,possible-proper-noun,38,2,data/3/entries/4/entries/8/entries/1/entries/2/rows/0/1,"""A gang war is causing unrest throughout the city. We have offered protection to members of the Dungsweepers' Guild, and you have been assigned to protect a group of them. Meet them at the Muleskull Tavern, on Ship Street in the Dock Ward, at six bells and guard them while they work. Do this every day for a tenday.""",0.8,騾骨酒館,project-proposed,contextual,騾顱酒館,
Mystra,possible-proper-noun,146,10,data/8/entries/5/entries/2/entries/6/entries/1/entries/0,"To Her Ageless Majesty, {@creature Laeral Silverhand|WDH}, the Witch-Queen of Stornanter, Lady of the North, She of the Seven Sisters, Chosen of Mystra, and Open Lord of Waterdeep:",0.95,密斯特拉,existing-site,contextual,密斯拉,
Nar'l,possible-proper-noun,4,36,data/0/entries/5/entries/0/rows/52/0,{@creature Nar'l Xibrindas|WDH},0.8,納爾,project-proposed,contextual,,
Nar'l Xibrindas,possible-proper-noun,4,19,data/0/entries/5/entries/0/rows/52/0,{@creature Nar'l Xibrindas|WDH},0.95,納爾·澤布林達斯,existing-site,contextual,納爾·澤布林達斯;納爾·希布林達斯,
Nat,possible-proper-noun,63,8,data/5/entries/4/entries/5/entries/3/entries/4/entries/0,"Three street urchins, described below, appear in several of this chapter's scenes: {@b Nat} is a lanky, 10-year-old deaf Illuskan girl with a wooden toy sword. She is the leader of the group and communicates using a sign language that she invented and taught to her friends. {@b Jenks} is a portly 9-year-old Turami boy with a cloak, a toy wand, and a stuffed owlbear ""familiar."" He's shy around strangers but brave when it comes to helping his friends. {@b Squiddly} is a slim 9-year-old tiefling boy with an eye patch, a small bow, and a quiver of toy arrows. He rarely thinks before he talks or acts.",0.8,納特,project-correction,contextual,納特,Corrected matching WDH monster and fluff display names in this branch; lookup IDs preserved.
Necromancer,possible-proper-noun,85,1,data/5/entries/12/entries/3/entries/4/name,Necromancer,0.95,死靈師,existing-site,contextual,死靈師;死靈法師,
Net Street,possible-proper-noun,23,3,data/2/entries/3/entries/4/entries/0,"Volo last saw Floon outside the Skewered Dragon, a dubious (and Zhentarim-owned) tavern between Net Street and Fillet Lane in the Dock Ward. The following encounters kick off the characters' investigation.",0.8,漁網街,project-proposed,contextual,,
Nevercott,possible-proper-noun,35,1,data/3/entries/4/entries/4/entries/2/entries/1,"On the other hand, if the characters try to confront the drow spies, they avoid contact but leave behind a black eye patch as a calling card. The next day, {@creature Jarlaxle Baenre|WDH} (see {@adventure appendix B|WDH|12}) shows up at the party's headquarters, using his {@item hat of disguise} to appear as a haberdasher named J.B. Nevercott. In this guise, he asks to speak privately with drow characters who he thinks might make suitable Bregan D'aerthe recruits. Only drow are given serious consideration, but Jarlaxle doesn't care if they're male or female. As a test, he offers them their first mission.",0.8,奈弗科特,project-proposed,contextual,,
Neverember,possible-proper-noun,4,75,data/0/entries/5/entries/0/rows/58/0,{@creature Renaer Neverember|WDH},0.95,無燼,existing-site,contextual,尼弗伯;永不冬季;奈弗恩伯;奈弗伯;奈弗瑞姆伯;奈維姆伯;奈維默;諾瓦梅伯;奈維恩伯;內弗伯;尼弗恩伯;奈弗瑞姆貝爾;尼弗恩貝爾;奈維姆;尼弗梅伯;奈維爾莫;納弗伯;奈弗爾姆貝爾;尼維爾梅爾;奈弗恩貝爾;內維爾;尼維爾姆;奈弗梅爾;尼維莫伯;內弗梅伯;尼維爾伯;納弗莫;奈弗梅伯;諾瓦姆貝爾;諾維姆貝爾,"Shared surname with Renaer Neverember (瑞納爾·無燼), data/zh-TW/bestiary/bestiary-wdh.json"
Nightal,possible-proper-noun,7,5,data/1/entries/4/entries/5/entries/1/entries/0,"The Faerûnian months are Hammer, Alturiak, Ches, Tarsakh, Mirtul, Kythorn, Flamerule, Eleasis, Eleint, Marpenoth, Uktar, and Nightal.",0.8,奈塔爾,project-proposed,contextual,奈特阿爾,
Nihiloor,possible-proper-noun,4,31,data/0/entries/5/entries/0/rows/53/0,{@creature Nihiloor|WDH},0.95,尼希盧爾,existing-site,contextual,尼希盧爾,
Nim,possible-proper-noun,46,31,data/4/entries/8/name,Nim's Secret,0.8,尼姆,project-proposed,contextual,,
Nimblewright,possible-proper-noun,47,5,data/4/entries/8/entries/2/entries/3/entries/1/title,Nimblewright Detector,0.95,秘偶,existing-site,contextual,秘偶;敏捷構造體;敏捷工匠;敏捷傀儡;靈巧構造體;敏捷靈,
Nimblewright Detector,possible-proper-noun,47,2,data/4/entries/8/entries/2/entries/3/entries/1/title,Nimblewright Detector,0.95,秘偶探測器,existing-site,contextual,秘偶探測器;敏捷構造體探測器;敏捷工匠探測器;靈巧生物探測器,
North Ward,possible-proper-noun,5,33,data/1/entries/2/entries/5/entries/2,"As a reward for rescuing Floon, Volo gives adventurers the deed to a building in the North Ward that looks out onto a wide cul-de-sac hemmed in by old residences and shops. The property used to be a tavern with a residence on the upper floors. The tavern has been closed for years, and the residence is haunted by a poltergeist that the characters can lay to rest.",0.8,北區,project-proposed,contextual,北部區;北城區,
Noska,possible-proper-noun,66,27,data/5/entries/5/entries/2/entries/1,"When the characters arrive at her home, Grinda is holed up inside, having barricaded the doors with furniture. Trying to break down the doors are four members of the Xanathar Guild (CE male human {@creature bandit||bandits}) under the command of a dwarf enforcer named {@creature Noska Ur'gray|wdh} (see {@adventure appendix B|WDH|12}). A {@creature merrow} also under Noska's command swims beneath the docks. It surfaces to attack when the characters arrive.",0.95,諾思卡,existing-site-short-form,contextual,諾斯卡,
Noska Ur'gray,possible-proper-noun,66,12,data/5/entries/5/entries/2/entries/1,"When the characters arrive at her home, Grinda is holed up inside, having barricaded the doors with furniture. Trying to break down the doors are four members of the Xanathar Guild (CE male human {@creature bandit||bandits}) under the command of a dwarf enforcer named {@creature Noska Ur'gray|wdh} (see {@adventure appendix B|WDH|12}). A {@creature merrow} also under Noska's command swims beneath the docks. It surfaces to attack when the characters arrive.",0.95,諾思卡·厄格雷,existing-site,contextual,諾思卡·厄格雷,
O'tamu,possible-proper-noun,20,1,data/1/entries/12/entries/5/entries/7/entries/1,"Obaya, a priest, has traveled from Chult to sponsor expeditions into Undermountain, with the goal of bringing its magical treasures back to her employer, the merchant prince Wakanga O'tamu of Port Nyanzaru. She discourages low-level adventurers from exploring Undermountain but is happy to help them with her magic until they gain enough experience to be useful to her.",0.8,歐塔姆,project-proposed,contextual,,
Obaya,possible-proper-noun,4,5,data/0/entries/5/entries/0/rows/54/0,{@creature Obaya Uday|WDH},0.95,歐芭雅,existing-site-short-form,contextual,奧巴婭,
Obaya Uday,possible-proper-noun,4,3,data/0/entries/5/entries/0/rows/54/0,{@creature Obaya Uday|WDH},0.95,歐芭雅·烏黛,existing-site,contextual,Obaya Uday,
Obliteros,possible-proper-noun,66,2,data/5/entries/5/entries/1/entries/5/entries/2/entries/1,"As the characters search the harbor for treasure, roll any die. If an even number is rolled, an awakened shark named {@creature Obliteros|wdh} attacks them. Grinda has had several close encounters with the shark recently, but fails to mention this to the characters for fear of scaring them off. {@creature Obliteros|wdh} is a {@creature giant shark}, with these changes:",0.95,奧布里特羅斯,existing-site,contextual,,
Oghma,possible-proper-noun,176,3,data/10/entries/5/entries/5/entries/4/rows/8/0,Oghma,0.95,歐格瑪,existing-site,contextual,奧格瑪,
Old Tower,possible-proper-noun,58,17,data/5/entries/3/entries/6/entries/1/entries/1,"{@creature Losser Mirklav|wdh}, a halfling necromancer, raids the Garloth mausoleum and takes the stone shortly before the characters arrive (encounter 4, ""Mausoleum""). As they emerge from the mausoleum, members of the Xanathar Guild attack them, believing they have the stone. A clue left behind in the mausoleum leads the characters to an old windmill in the Southern Ward and a pair of grave robbers (encounter 10, ""Converted Windmill""). Fearing arrest, the grave robbers point them to a cellar complex under the Trades Ward (encounter 9, ""Cellar Complex""). When the characters arrive, they find Losser surrounded by foes and kenku working for the Xanathar Guild making off with the stone. A chase through the streets on or before Trolltide (encounter 3, ""Street Chase"") ends when the kenku, fearing capture, duck into an old tower (encounter 7, ""Old Tower""). If they are caught and confronted, the kenku hand over the stone.",0.8,舊塔,project-proposed,contextual,,
Old Xoblob Shop,possible-proper-noun,23,10,data/2/entries/3/entries/4/entries/1,"En route to the tavern, ""Blood in the Streets"" is a chance for characters to see the City Watch in action. If the characters decide to look around, ""Searching the Dock Ward"" gives them a feel for their surroundings, and they might discover a strange place, ""Old Xoblob Shop,"" that warrants further exploration. Once they arrive at their destination, ""The Skewered Dragon"" is an opportunity for the characters to get information from the patrons, which leads them to ""Candle Lane,"" where their quest continues.",0.8,老索布洛布商店,project-proposed,contextual,老Xoblob商店,
Open Lord,possible-proper-noun,5,48,data/1/entries/2/entries/2/entries/0,"In Waterdeep, a gold coin is called a dragon. Before he was ousted from his position as the Open Lord of Waterdeep, Dagult Neverember embezzled half a million dragons and hid them in a secret vault. As a security precaution, he arranged for all knowledge of the vault's location and defenses to be magically erased from his mind and the minds of his subordinates. The wizard who performed the procedure trapped this knowledge within an artifact called the {@item Stone of Golorr|WDH}. The wizard disappeared shortly thereafter, and Dagult hid the stone in the Palace of Waterdeep.",0.8,公開領主,project-proposed,contextual,開放領主;開明領主;明面領主,
Order of the Gauntlet,possible-proper-noun,14,17,data/1/entries/9/entries/6/entries/1/entries/0,"This adventure includes side quests available only to characters who join the factions described in this adventure. You can use the optional renown rules in chapter 1 of the Dungeon Master's Guide to track a character's rank and ascent within a given faction. The Dungeon Master's Guide gives names for various ranks within the Harpers, the Emerald Enclave, the Lords' Alliance, the Order of the Gauntlet, and the Zhentarim. Rank names for members of Bregan D'aerthe, Force Grey, and the Xanathar Guild are given below, with the renown needed to attain each rank.",0.8,鐵手套教團,user-approved,contextual,Gauntlet秩序;劍鞘騎士團;戰拳教團;戰拳會;戰錘會;戰錘秩序;戰錘騎士團;戰錘骑士團;手套教團;手套騎士團;手甲會;拳套秩序;盾牌秩序;臂鎧之序;臂鎧教團;護手之令;護手之序;護手教團;護手教會;護手會;護手秩序;護手騎士;護手騎士團;鐵手套騎士團;鐵拳騎士團;戰旗秩序;聖拳之誓;鐵拳團;鐵手會,
Orond,possible-proper-noun,4,22,data/0/entries/5/entries/0/rows/55/0,{@creature Orond Gralhund|WDH},0.95,奧隆德,existing-site-short-form,contextual,奧倫德,
Orond Gralhund,possible-proper-noun,4,8,data/0/entries/5/entries/0/rows/55/0,{@creature Orond Gralhund|WDH},0.95,奧隆德·格勞洪德,existing-site,contextual,奧隆德·格勞洪德,
Osvaldo,possible-proper-noun,115,19,data/7/entries/1,"Victoro and {@creature Ammalia Cassalanter|WDH} struck a deal with Asmodeus, Lord of the Nine Hells. Three years ago, they traded away the souls of their children to escape financial ruin. The soul of their eldest son, Osvaldo, was taken immediately. What was left behind was transformed into a chain devil, which the Cassalanters confined to their attic. Their two youngest children, Terenzio and Elzerina, are doomed to lose their souls when they turn nine years old a mere ten days after Founders' Day, a midsummer festival that celebrates Waterdeep's founding.",0.95,奧斯瓦多,existing-site-short-form,contextual,奧斯瓦爾多;奧斯瓦爾;奧瓦爾多,
Osvaldo Cassalanter,possible-proper-noun,124,2,data/7/entries/7/entries/5/entries/29/entries/2,"{@creature Osvaldo Cassalanter|WDH} (see {@adventure appendix B|WDH|12}) shrieks and moans at all hours of the day. He is trying desperately to get someone to hear him and come to his rescue. If one or both of his parents are here, he spits curses at them as they weep before him.",0.95,奧斯瓦多·卡薩蘭特,existing-site,contextual,奧斯瓦多·卡薩蘭特,
Ott,possible-proper-noun,35,22,data/3/entries/4/entries/4/entries/2/entries/3/rows/2/2,"Characters who search the basement of their Trollskull Alley tavern (see below) find {@creature Ott Steeltoes|wdh} (see {@adventure appendix B|WDH|12}) bound by {@item iron bands of Bilarro}. How he got there is anyone's guess; even he doesn't know. On the first night, {@creature Xanathar|WDH} sends a gang of six {@creature bugbear||bugbears} to attack the tavern and rescue Ott. If the characters have moved Ott elsewhere, the bugbears attack the tavern anyway. On the second night, four members of the Dungsweepers' Guild ({@creature commoner||commoners}) with {@creature intellect devourer||intellect devourers} in their skulls visit the tavern. They order drinks and scope out the tavern, attacking if they find Ott or leaving if they don't. On the third night, a {@creature beholder zombie} attacks. After the third attack, Ott disappears as mysteriously as he arrived, along with the {@item iron bands of Bilarro}. {@i Reward}: Each Bregan D'aerthe character gains 2 renown.",0.95,奧特,existing-site-short-form,contextual,,
Ott Steeltoes,possible-proper-noun,35,10,data/3/entries/4/entries/4/entries/2/entries/3/rows/2/2,"Characters who search the basement of their Trollskull Alley tavern (see below) find {@creature Ott Steeltoes|wdh} (see {@adventure appendix B|WDH|12}) bound by {@item iron bands of Bilarro}. How he got there is anyone's guess; even he doesn't know. On the first night, {@creature Xanathar|WDH} sends a gang of six {@creature bugbear||bugbears} to attack the tavern and rescue Ott. If the characters have moved Ott elsewhere, the bugbears attack the tavern anyway. On the second night, four members of the Dungsweepers' Guild ({@creature commoner||commoners}) with {@creature intellect devourer||intellect devourers} in their skulls visit the tavern. They order drinks and scope out the tavern, attacking if they find Ott or leaving if they don't. On the third night, a {@creature beholder zombie} attacks. After the third attack, Ott disappears as mysteriously as he arrived, along with the {@item iron bands of Bilarro}. {@i Reward}: Each Bregan D'aerthe character gains 2 renown.",0.95,奧特·鋼趾,existing-site,contextual,奧特·鋼趾,
Palace of Waterdeep,possible-proper-noun,5,10,data/1/entries/2/entries/2/entries/0,"In Waterdeep, a gold coin is called a dragon. Before he was ousted from his position as the Open Lord of Waterdeep, Dagult Neverember embezzled half a million dragons and hid them in a secret vault. As a security precaution, he arranged for all knowledge of the vault's location and defenses to be magically erased from his mind and the minds of his subordinates. The wizard who performed the procedure trapped this knowledge within an artifact called the {@item Stone of Golorr|WDH}. The wizard disappeared shortly thereafter, and Dagult hid the stone in the Palace of Waterdeep.",0.8,深水宮,project-proposed,contextual,深水城宮殿,
Panopticus,possible-proper-noun,102,4,data/6/entries/7/entries/4/entries/17/title,Panopticus,0.8,全視機,project-proposed,contextual,全視之眼,
Phaulkon,possible-proper-noun,4,8,data/0/entries/5/entries/0/rows/31/0,Jeryth Phaulkon,0.8,波康,project-proposed,contextual,福爾康;菲爾康;福康;泡肯,
Phaulkonmere,possible-proper-noun,15,10,data/1/entries/11/entries/6/entries/2,"Members of the Emerald Enclave can be found in Phaulkonmere, a noble villa in the Southern Ward, and at the Snobeedle Orchard and Meadery in Undercliff. The walls of Phaulkonmere enclose fabulous gardens, and the buildings are covered with moss and ivy. The place is owned by descendants of two wealthy families-the Tarms (longtime Waterdavians) and the Phaulkons (who are of Cormyrean descent). They spend most of the year traveling abroad and entrust the estate to a half-elf groundskeeper named {@creature Melannor Fellbranch|wdh}. He is joined by Jeryth Phaulkon, a noblewoman turned demigod who serves Mielikki, divine lady of the forest.",0.8,波康莊園,project-proposed,contextual,福康米爾,
Phaulkons,possible-proper-noun,15,1,data/1/entries/11/entries/6/entries/2,"Members of the Emerald Enclave can be found in Phaulkonmere, a noble villa in the Southern Ward, and at the Snobeedle Orchard and Meadery in Undercliff. The walls of Phaulkonmere enclose fabulous gardens, and the buildings are covered with moss and ivy. The place is owned by descendants of two wealthy families-the Tarms (longtime Waterdavians) and the Phaulkons (who are of Cormyrean descent). They spend most of the year traveling abroad and entrust the estate to a half-elf groundskeeper named {@creature Melannor Fellbranch|wdh}. He is joined by Jeryth Phaulkon, a noblewoman turned demigod who serves Mielikki, divine lady of the forest.",0.8,波康家族,project-proposed,contextual,,
Phylund,possible-proper-noun,13,2,data/1/entries/9/entries/4/entries/1/entries/3/name,House Phylund,0.8,菲倫德,project-proposed,contextual,,
Piergeiron,possible-proper-noun,82,4,data/5/entries/11/entries/4/entries/2/items/1,A character who has at least 4 renown in the Lords' Alliance can arrange a meeting with {@creature Laeral Silverhand|WDH} (see {@adventure appendix B|WDH|12}) at Piergeiron's Palace and convince her to give Fenerus what he wants in exchange for information on the stone's whereabouts. The safe return of Neverember's cache of dragons is more important to her than the fate of one brigand.,0.8,皮爾吉倫,project-proposed,contextual,皮爾蓋隆;皮爾蓋倫,
Plans,possible-proper-noun,42,2,data/3/entries/5/entries/3/entries/5/name,Plans,0.95,計劃,existing-site,contextual,計劃,
Pynt Oomtrowl,possible-proper-noun,78,1,data/5/entries/10/entries/4/entries/2/entries/1/items/1,"Pynt Oomtrowl (CG female rock gnome), of the Cellarers' and Plumbers' Guild",0.8,品特·烏姆特羅爾,project-proposed,contextual,,
Qrr'zarq,possible-proper-noun,110,3,data/6/entries/7/entries/4/entries/27/entries/0,"{@creature Nihiloor|WDH} the mind flayer has carved out its own lair within {@creature Xanathar|WDH}'s lair (areas X23 through X26). If {@creature Nihiloor|WDH} is killed earlier in the adventure, replace it with a mind flayer named Qrr'zarq.",0.8,克爾札克,project-proposed,contextual,,
Raelyn Auvryndar,possible-proper-noun,4,3,data/0/entries/5/entries/0/rows/56/0,Raelyn Auvryndar,0.8,瑞琳·奧弗林達爾,project-proposed,contextual,,
Ranks in the City Guard,possible-proper-noun,197,1,data/12/entries/8/entries/2/name,Ranks in the City Guard,0.95,城防軍的等級,existing-site,contextual,城市警衛的等級,
Rassalantar,possible-proper-noun,164,1,data/10/entries/2/entries/1,"You will have traveled through lands claimed and controlled by the Lords of Waterdeep long before you see its walls. If you've come from the south by the Trade Way, you'll have met the City Guard at their post at Zundbridge. From the north by way of the Long Road, you'll have passed under their watchful eyes at the town of Rassalantar. And whether by land or sea, you'll likely also have been spotted by the Griffon Cavalry—even if you have not spotted them.",0.8,拉薩蘭塔爾,project-proposed,contextual,,
Rassk,possible-proper-noun,41,6,data/3/entries/5/entries/2/entries/3/name,Justyn Rassk,0.8,拉斯克,project-proposed,contextual,,
Remallia,possible-proper-noun,4,17,data/0/entries/5/entries/0/rows/57/0,{@creature Remallia Haventree|WDH},0.95,蕾米莉亞,existing-site-short-form,contextual,雷馬利亞;雷瑪利亞,
Remallia Haventree,possible-proper-noun,4,12,data/0/entries/5/entries/0/rows/57/0,{@creature Remallia Haventree|WDH},0.95,蕾米莉亞·港樹,existing-site,contextual,蕾米莉亞·港樹,
Remi,possible-proper-noun,16,3,data/1/entries/11/entries/8/entries/2,"The Harpers have several secret gathering places in Waterdeep, among them Ulbrinter Villa, an estate located on Delzorin Street between Vhezoar Street and Brondar's Way, in the North Ward (just south of Trollskull Alley). The elf lady of the house, {@creature Remallia Haventree|WDH} (""Remi"" to her friends), the widow of Lord Arthagast Ulbrinter, is a high-ranking member of the faction. Other key members include {@creature Renaer Neverember|wdh}, the estranged son of Lord Dagult Neverember, and {@creature Mirt|WDH}, an advisor to Open Lord {@creature Laeral Silverhand|WDH}. See {@adventure appendix B|WDH|12} for more information on these NPCs.",0.8,蕾米,project-proposed,contextual,,
Renaer,possible-proper-noun,4,72,data/0/entries/5/entries/0/rows/58/0,{@creature Renaer Neverember|WDH},0.95,瑞納爾,existing-site-short-form,contextual,雷納爾;雷尼爾;雷納,
