english,category,zh_tw,alternative_zh_tw,source,status,lock,notes
Gloom Stalker,subclass,幽域追蹤者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Grave Domain,subclass,墳墓領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Graviturgy Magic,subclass,重力魔法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Great Old One Patron,subclass,舊日支配者宗主,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Hollow Warden,subclass,幽邃戍衛,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Horizon Walker,subclass,境界行者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Hunter,subclass,獵人,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Illusionist,subclass,幻術師,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Inquisitive,subclass,審訊者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Knowledge Domain,subclass,知識領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Knowledge Domain (PSA),subclass,知識領域(PSA),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Life Domain,subclass,生命領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Light Domain,subclass,光明領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Lunar Sorcery,subclass,月之術法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Mastermind,subclass,策士,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Monster Slayer,subclass,怪物殺手,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Nature Domain,subclass,自然領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of Conquest,subclass,征服之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of Devotion,subclass,奉獻之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of Glory,subclass,榮耀之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of Redemption,subclass,救贖之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of the Ancients,subclass,遠古之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of the Crown,subclass,王冠之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of the Noble Genies,subclass,巨靈貴族之誓,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Oath of the Watchers,subclass,守望之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of Vengeance,subclass,復仇之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oathbreaker,subclass,破誓者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Order Domain,subclass,秩序領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Order of Scribes,subclass,書士會,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Order of the Avatar,subclass,具現者修會,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Order of the Awakened,subclass,覺醒者修會,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Order of the Immortal,subclass,不朽者修會,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Order of the Nomad,subclass,漫遊者修會,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Order of the Soul Knife,subclass,魂刃修會,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Order of the Wu Jen,subclass,巫覡修會,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Path of the Ancestral Guardian,subclass,先祖守衛道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of the Battlerager,subclass,戰狂道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of the Beast,subclass,野獸道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of the Berserker,subclass,狂戰士道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of the Giant,subclass,巨人道途,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Path of the Storm Herald,subclass,風暴先驅道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of the Totem Warrior,subclass,圖騰勇士道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of the Wild Heart,subclass,獸心道途,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Path of the World Tree,subclass,世界樹道途,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Path of the Zealot,subclass,狂熱者道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of Wild Magic,subclass,狂野魔法道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Peace Domain,subclass,和平領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Phantom,subclass,鬼魅,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Psi Warrior,subclass,靈能武士,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Purple Dragon Knight (Banneret),subclass,紫龍騎士（旗將）,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Pyromancer (PSK),subclass,烈焰術士(PSK),,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Reanimator,subclass,蘇生師,掘墳人,manual rules QA,approved,true,
Rune Knight,subclass,符文騎士,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Samurai,subclass,武士,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
School of Abjuration,subclass,防護學派,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
School of Conjuration,subclass,咒法學派,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
School of Divination,subclass,預言學派,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
School of Enchantment,subclass,惑控學派,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
School of Evocation,subclass,塑能學派,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
School of Illusion,subclass,幻術學派,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
School of Necromancy,subclass,死靈學派,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
School of Transmutation,subclass,變化學派,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Scion of the Three,subclass,三神門徒,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Scout,subclass,斥侯,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Shadow Magic,subclass,幽影魔法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Shadow Sorcery,subclass,幽影術法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Solidarity Domain (PSA),subclass,團結領域(PSA),,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Soulknife,subclass,魂刃,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Spellfire Sorcery,subclass,咒火術法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Storm Sorcery,subclass,暴風術法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Strength Domain (PSA),subclass,力量領域(PSA),,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Swarmkeeper,subclass,集羣守衛,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Swashbuckler,subclass,風流劍客,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Tempest Domain,subclass,暴風領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
The Archfey,subclass,至高妖精,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
The Celestial,subclass,天界宗主,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
The Fathomless,subclass,深海意志,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
The Fiend,subclass,邪魔宗主,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
The Genie,subclass,巨靈宗主,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
The Great Old One,subclass,舊日支配者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
The Hexblade,subclass,咒劍士,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
The Undead,subclass,死靈宗主,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
The Undying,subclass,​不朽者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Thief,subclass,竊賊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Trickery Domain,subclass,詭術領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Twilight Domain,subclass,暮光領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Undead Patron,subclass,死靈宗主,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
War Domain,subclass,戰爭領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
War Magic,subclass,戰爭魔法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Warrior of Mercy,subclass,命流武者,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Warrior of Shadow,subclass,暗影武者,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Warrior of the Elements,subclass,四象武者,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Warrior of the Open Hand,subclass,散打武者,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Way of Mercy,subclass,命流宗,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Way of Shadow,subclass,暗影宗,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Way of the Ascendant Dragon,subclass,神龍宗,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Way of the Astral Self,subclass,星我宗,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Way of the Drunken Master,subclass,醉拳宗,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Way of the Four Elements,subclass,四象宗,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Way of the Kensei,subclass,劍聖宗,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Way of the Long Death,subclass,永亡宗,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Way of the Open Hand,subclass,散打宗,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Way of the Sun Soul,subclass,日魂宗,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Wild Magic,subclass,狂野魔法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Wild Magic Sorcery,subclass,狂野術法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Winter Walker,subclass,凜冬行者,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Zeal Domain (PSA),subclass,熱忱領域(PSA),,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Aberrant Mind,subclassFeature,畸變心智,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Aberrant Sorcery,subclassFeature,畸變術法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Abjuration Savant,subclassFeature,防護學者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Abjure Enemy,subclassFeature,破膽叱喝,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Abjure the Extraplanar,subclassFeature,驅散異域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Abjurer,subclassFeature,防護師,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Absorb Spells,subclassFeature,汲納法術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Accursed Specter,subclassFeature,咒縛幽靈,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Acolyte of Nature,subclassFeature,自然侍祭,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Acolyte of Strength,subclassFeature,力量聖徒,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Additional Arcane Shot Option,subclassFeature,額外祕法射擊選項,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Additional Fighting Style,subclassFeature,額外戰鬥風格,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Additional Magical Secrets,subclassFeature,額外魔法祕密,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Additional Maneuvers,subclassFeature,額外戰技,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Additional Rune Known,subclassFeature,額外符文已知,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Additional Superiority Die,subclassFeature,額外卓越骰,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Adjust Density,subclassFeature,調節密度,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Adventurer's Atlas,subclassFeature,冒險者的地圖匣,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Agile Parry,subclassFeature,靈巧格檔,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Agile Strikes,subclassFeature,靈巧打擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Alchemical Savant,subclassFeature,鍊金術掌握,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Alchemist,subclassFeature,鍊金師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Alchemist Spells,subclassFeature,鍊金師法術,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Alter Memories,subclassFeature,改動記憶,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Ambition Domain (PSA),subclassFeature,野心領域(PSA),,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Ambush Master,subclassFeature,伏擊大師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Among the Dead,subclassFeature,常伴死亡,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Ancestral Protectors,subclassFeature,先祖守護,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Ancient Might,subclassFeature,古源蠻力,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Animal Speaker,subclassFeature,動物交談,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Animating Performance,subclassFeature,活化表演,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Aquatic Affinity,subclassFeature,水生親和,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Arcana Domain,subclassFeature,奧祕領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Abeyance,subclassFeature,奧法暫滯,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Archer,subclassFeature,魔射手,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Archer Lore,subclassFeature,魔射手學識,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Armor,subclassFeature,奧能裝甲,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Charge,subclassFeature,祕法衝鋒,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Dabbler,subclassFeature,奧秘初試,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Arcane Deflection,subclassFeature,祕法偏斜,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Firearm,subclassFeature,奧法火器,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Initiate,subclassFeature,奧法學徒,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Jolt,subclassFeature,奧能震盪,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Mastery,subclassFeature,奧術宗師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Shot,subclassFeature,祕法射擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Shot Options,subclassFeature,祕法射擊選項,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Trickster,subclassFeature,詭術師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Ward,subclassFeature,奧法防護,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Archer,subclassFeature,射手座,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Archfey Patron,subclassFeature,至高妖精宗主,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Archfey Spells,subclassFeature,至高妖精法術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Armor Model,subclassFeature,裝甲型號,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Armor Modifications,subclassFeature,裝甲改造,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Armor of Hexes,subclassFeature,巫咒護甲,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Armor Training,subclassFeature,護甲受訓,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Armorer,subclassFeature,裝甲師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Armorer Spells,subclassFeature,裝甲師法術,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arms of the Astral Self,subclassFeature,星我之臂,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Artillerist,subclassFeature,魔炮師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Artillerist Spells,subclassFeature,魔炮師法術,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Ascendant Aspect,subclassFeature,神龍身,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Aspect of the Beast,subclassFeature,獸之形,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Aspect of the Wilds,subclassFeature,獸之形貌,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Aspect of the Wyrm,subclassFeature,古龍姿,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Assassin,subclassFeature,刺客,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Assassin's Tools,subclassFeature,刺客工具,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Assassinate,subclassFeature,刺殺,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Aura of Alacrity,subclassFeature,迅捷靈光,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Aura of Conquest,subclassFeature,征服靈光,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Aura of Devotion,subclassFeature,奉獻靈光,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Aura of Elemental Shielding,subclassFeature,元素守禦靈光,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Aura of Hate,subclassFeature,憎恨靈光,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Aura of Malevolence,subclassFeature,惡毒靈光,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Aura of the Guardian,subclassFeature,護衛靈光,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Aura of the Sentinel,subclassFeature,哨衛靈光,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Aura of Warding,subclassFeature,防護靈光,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Avatar of Battle,subclassFeature,戰鬥化身,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Avatar of Healing,subclassFeature,醫療具現,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Avatar of Speed,subclassFeature,急速具現,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Avenging Angel,subclassFeature,復仇天使,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Awakened Astral Self,subclassFeature,星我覺醒,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Awakened Mind,subclassFeature,喚醒心靈,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Awakened Spellbook,subclassFeature,覺醒魔典,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Awakened Talent,subclassFeature,喚醒天賦,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Balm of the Summer Court,subclassFeature,仲夏庭院的芬馥,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Banneret,subclassFeature,旗將,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Bardic Damage,subclassFeature,詩人痛擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Bastion of Law,subclassFeature,律令之壁,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Battering Roots,subclassFeature,根擊千鈞,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Battle Magic,subclassFeature,戰鬥魔法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Battle Master,subclassFeature,戰鬥大師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Battle Ready,subclassFeature,戰鬥準備,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Battle Smith,subclassFeature,戰地匠師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Battle Smith Spells,subclassFeature,戰地匠師法術,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Battlerager Armor,subclassFeature,戰狂護甲,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Battlerager Charge,subclassFeature,戰狂衝鋒,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bear,subclassFeature,熊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Beast Master,subclassFeature,獸王,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Beasts of Ill Omen,subclassFeature,凶兆之獸,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Beguiling Defenses,subclassFeature,迷惑防護,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Beguiling Magic,subclassFeature,惑心魔法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Beguiling Twist,subclassFeature,妖思魅縷,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bend Luck,subclassFeature,竄改運氣,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Benign Transposition,subclassFeature,移形換位,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bestial Fury,subclassFeature,野性狂怒,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bestial Soul,subclassFeature,獸性之魂,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bewitching Magic,subclassFeature,醉心魔法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Blade Flourish,subclassFeature,鋒刃劍舞,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bladesinger,subclassFeature,劍詠者,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Bladesinger Styles,subclassFeature,劍詠者風格,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bladesinging,subclassFeature,劍詠,劍詠傳承,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,approved,true,User approved the first listed candidate; may revise later.
Bladesong,subclassFeature,劍歌,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Blaze of Glory,subclassFeature,榮光聖焰,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Blazing Revival,subclassFeature,熾烈回生,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Blessed Healer,subclassFeature,祝聖醫者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Blessed Strikes,subclassFeature,受祝擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Blessing of Moonlight,subclassFeature,月光祝福,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Blessing of the Forge,subclassFeature,鍛造祝福,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Blessing of the Trickster,subclassFeature,詭術祝福,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Blessings of Knowledge,subclassFeature,知識祝福,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bloodthirst,subclassFeature,嗜血,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Body of the Astral Self,subclassFeature,星我之軀,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bolstering Flames,subclassFeature,熾焰鼓舞,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Bolstering Magic,subclassFeature,振奮魔法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
